round,teamA,teamB,teamAScore,teamBScore,field
1,Team244,Team153,6,0,Field A
1,Team090,Team033,3,7,Field U
1,Team022,Team164,7,4,Field B
1,Team142,Team187,12,13,Field I
1,Team026,Team172,7,8,Field J
1,Team253,Team236,4,16,Field Z
1,Team061,Team064,14,9,Field Z
1,Team009,Team181,2,19,Field R
1,Team085,Team058,12,12,Field P
1,Team207,Team175,8,17,Field Q
1,Team121,Team169,19,4,Field F
1,Team042,Team089,1,11,Field Z
1,Team116,Team029,7,12,Field K
1,Team133,Team123,9,10,Field N
1,Team117,Team137,20,17,Field I
1,Team013,Team048,19,5,Field X
1,Team190,Team231,14,8,Field U
1,Team046,Team028,17,15,Field Q
1,Team071,Team041,1,15,Field W
1,Team128,Team151,12,19,Field I
1,Team016,Team005,13,1,Field I
1,Team136,Team252,2,3,Field C
1,Team145,Team198,8,15,Field U
1,Team154,Team247,10,7,Field B
1,Team161,Team096,17,2,Field E
1,Team051,Team139,19,13,Field W
1,Team050,Team032,19,17,Field W
1,Team160,Team115,19,17,Field T
1,Team007,Team219,4,18,Field Z
1,Team120,Team086,1,3,Field I
1,Team004,Team162,12,7,Field U
1,Team159,Team114,12,11,Field T
1,Team045,Team081,5,4,Field F
1,Team212,Team203,16,17,Field O
1,Team222,Team135,6,16,Field I
1,Team228,Team099,13,4,Field Q
1,Team111,Team078,8,0,Field X
1,Team201,Team100,0,15,Field V
1,Team069,Team039,8,18,Field N
1,Team122,Team088,4,16,Field J
1,Team167,Team202,3,8,Field G
1,Team179,Team226,12,11,Field U
1,Team031,Team206,7,15,Field U
1,Team171,Team165,2,19,Field F
1,Team110,Team227,1,10,Field L
1,Team095,Team250,8,20,Field X
1,Team011,Team068,10,12,Field P
1,Team053,Team006,6,10,Field D
1,Team010,Team014,4,7,Field R
1,Team015,Team216,20,16,Field A
1,Team001,Team054,1,6,Field P
1,Team192,Team067,3,11,Field X
1,Team059,Team184,13,18,Field B
1,Team193,Team107,10,15,Field G
1,Team062,Team124,4,1,Field J
1,Team237,Team018,7,0,Field S
1,Team093,Team108,16,18,Field C
1,Team143,Team103,5,10,Field Q
1,Team102,Team113,10,0,Field Z
1,Team174,Team036,10,5,Field C
1,Team104,Team234,12,4,Field L
1,Team074,Team043,15,12,Field L
1,Team188,Team205,0,18,Field E
1,Team040,Team146,15,2,Field Y
1,Team158,Team057,19,14,Field D
1,Team080,Team254,7,16,Field I
1,Team155,Team017,7,10,Field V
1,Team003,Team030,8,12,Field F
1,Team200,Team186,11,20,Field I
1,Team097,Team008,5,0,Field R
1,Team106,Team024,20,14,Field T
1,Team091,Team021,5,5,Field A
1,Team255,Team166,5,15,Field I
1,Team233,Team157,2,0,Field K
1,Team248,Team131,4,10,Field K
1,Team213,Team105,3,13,Field T
1,Team073,Team246,2,16,Field U
1,Team047,Team225,9,19,Field R
